Author,Book,Death_date
IbnAkfani,DhaylDhaylTarikhMawlidCulama,524
IbnQalanisi,Tarikh,555
IbnJawzi,Muntazam,597
IbnAthirCizzDin,Kamil,630
SibtIbnJawzi,MiratZaman,654
AbuFida,MukhtasarFiAkhbar,732
IbnDawadari,KanzDurar,736
Dhahabi,CibarFiKhabar,748
Dhahabi,TarikhIslam,748
IbnKaykaldiDimashqi,ItharatFawaid,761
Yafici,MiratJanan,768
IbnKathir,Bidaya,774
IbnKathir,TabaqatShaficiyyin,774
Maqrizi,ItticazHunafa,845
IbnTaghribirdi,NujumZahira,874
