Date,Header_count,Word_count
897,2,177
899,3,519
913,2,539
943,2,688
952,2,678
964,2,644
969,2,634
970,3,419
972,2,595
978,2,638
981,2,670
987,3,549
988,2,355
991,2,528
994,2,681
995,2,315
996,1,192
997,2,64
998,3,424
999,2,351
