50 Year Period,Word_count,Author,Book,Death_date,URI
100,22291,KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
150,9608,KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
100,5873,IbnSufyanFasawi,MacrifaWaTarikh,0277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1
150,8970,IbnSufyanFasawi,MacrifaWaTarikh,0277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1
200,8384,IbnSufyanFasawi,MacrifaWaTarikh,0277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1
100,158,Bahshal,TarikhWasit,0292,0292Bahshal.TarikhWasit.Shamela0011766-ara1
150,69,Bahshal,TarikhWasit,0292,0292Bahshal.TarikhWasit.Shamela0011766-ara1
100,180613,Tabari,Tarikh,0310,0310Tabari.Tarikh.Shamela0009783-ara1
150,117312,Tabari,Tarikh,0310,0310Tabari.Tarikh.Shamela0009783-ara1
200,81574,Tabari,Tarikh,0310,0310Tabari.Tarikh.Shamela0009783-ara1
250,126289,Tabari,Tarikh,0310,0310Tabari.Tarikh.Shamela0009783-ara1
300,32854,Tabari,Tarikh,0310,0310Tabari.Tarikh.Shamela0009783-ara1
100,20,IbnMukhalladCattar,MaRawaAkabir,0331,0331IbnMukhalladCattar.MaRawaAkabir.Shamela0001249-ara1
100,181,HamzaIsfahani,TarikhSini,0360,0360HamzaIsfahani.TarikhSini.ShamAY0033836-ara1
250,7163,CaribQurtubi,SilaTarikhTabari,0370,0370CaribQurtubi.SilaTarikhTabari.JK011178-ara1
100,6895,MuhammadRabci,TarikhMawlidCulama,0379,0379MuhammadRabci.TarikhMawlidCulama.JK000651-ara1
150,5644,MuhammadRabci,TarikhMawlidCulama,0379,0379MuhammadRabci.TarikhMawlidCulama.JK000651-ara1
200,4769,MuhammadRabci,TarikhMawlidCulama,0379,0379MuhammadRabci.TarikhMawlidCulama.JK000651-ara1
250,4443,MuhammadRabci,TarikhMawlidCulama,0379,0379MuhammadRabci.TarikhMawlidCulama.JK000651-ara1
100,56767,Miskawayh,Tajarib,0421,0421Miskawayh.Tajarib.Shamela0012396-ara1
150,2852,Miskawayh,Tajarib,0421,0421Miskawayh.Tajarib.Shamela0012396-ara1
200,1840,Miskawayh,Tajarib,0421,0421Miskawayh.Tajarib.Shamela0012396-ara1
250,3350,Miskawayh,Tajarib,0421,0421Miskawayh.Tajarib.Shamela0012396-ara1
300,7950,Miskawayh,Tajarib,0421,0421Miskawayh.Tajarib.Shamela0012396-ara1
300,1523,CabdCazizKattani,DhaylTarikhMawlidCulama,0466,0466CabdCazizKattani.DhaylTarikhMawlidCulama.JK000770-ara1
350,4586,CabdCazizKattani,DhaylTarikhMawlidCulama,0466,0466CabdCazizKattani.DhaylTarikhMawlidCulama.JK000770-ara1
400,7714,CabdCazizKattani,DhaylTarikhMawlidCulama,0466,0466CabdCazizKattani.DhaylTarikhMawlidCulama.JK000770-ara1
350,2537,AbuIshaqHabbal,WafayatMisriyyin,0482,0482AbuIshaqHabbal.WafayatMisriyyin.JK000712-ara1
400,3510,AbuIshaqHabbal,WafayatMisriyyin,0482,0482AbuIshaqHabbal.WafayatMisriyyin.JK000712-ara1
250,1779,MuhammadHamadhani,TakmilatTarikhTabari,0521,0521MuhammadHamadhani.TakmilatTarikhTabari.Shamela0006616-ara1
