Date,Header_count,Word_count
001,23,9139
002,29,114532
003,26,72905
004,33,40332
005,28,68310
006,39,70195
007,32,62586
008,45,161471
009,48,128401
010,30,104143
011,22,281329
012,21,30194
013,21,70064
014,22,93572
015,24,22290
016,19,31819
017,18,48250
018,23,19459
019,20,8441
020,21,20807
021,19,25462
022,21,22907
023,16,36330
024,12,8945
025,15,8804
026,17,3170
027,19,5972
028,23,8871
029,18,8689
030,21,32282
031,19,12280
032,21,40511
033,22,20371
034,20,14262
035,17,94127
036,19,89343
037,17,69351
038,21,42134
039,17,11383
040,17,40771
041,13,13015
042,13,9490
043,17,17054
044,14,10674
045,14,10274
046,13,3086
047,13,2525
048,13,2836
049,14,17764
050,12,21276
051,14,29696
052,14,7193
053,16,12371
054,18,10277
055,15,10230
056,15,7781
057,14,6138
058,14,20193
059,16,17794
060,12,75124
061,15,68407
062,12,9327
063,16,20918
064,13,62637
065,10,23936
066,12,46173
067,13,25782
068,14,26701
069,14,19633
070,12,7901
071,14,17851
072,14,16955
073,13,24989
074,13,24635
075,14,22526
076,11,23722
077,11,30741
078,11,7579
079,11,6605
080,11,12568
081,10,10544
082,11,15958
083,10,21575
084,12,7839
085,12,18260
086,16,21595
087,13,7879
088,13,4227
089,14,7977
090,13,14422
091,14,11976
092,13,10828
093,12,23882
094,12,27375
095,12,25602
096,13,33424
097,11,9997
098,12,13127
099,12,24813
100,35,27841
101,27,49304
102,26,31430
103,26,9219
104,26,18714
105,26,21458
106,35,34432
107,30,15773
108,28,7813
109,28,8918
110,31,37221
111,38,19398
112,37,29285
113,40,8800
114,40,11043
115,31,6543
116,30,16713
117,33,17814
118,32,9534
119,31,27316
120,30,33054
121,27,20220
122,31,18676
123,28,7938
124,32,19442
125,31,35362
126,23,60319
127,27,33108
128,26,21204
129,26,26306
130,31,28200
131,37,20152
132,40,66666
133,35,25805
134,17,7135
135,18,6137
136,19,16307
137,17,28569
138,17,5499
139,18,8189
140,18,5301
141,19,7195
142,18,5455
143,16,2880
144,16,21539
145,17,56025
146,15,7525
147,15,11847
148,17,6175
149,16,3522
150,18,13013
151,14,12510
152,15,3094
153,15,5731
154,15,5623
155,14,6333
156,16,3928
157,15,7220
158,16,30663
159,15,7537
160,15,15278
161,16,11586
162,14,6840
163,14,5378
164,13,3467
165,14,5997
166,14,7591
167,15,8110
168,14,4564
169,14,27172
170,15,22392
171,14,3823
172,13,3019
173,13,4401
174,15,2008
175,17,4913
176,15,10330
177,15,3986
178,14,4019
179,16,6888
180,15,7410
181,15,7808
182,15,12723
183,14,6248
184,16,3926
185,14,6262
186,16,10541
187,15,32813
188,16,4153
189,16,9621
190,19,12149
191,18,7297
192,19,13401
193,15,32276
194,15,16573
195,17,17254
196,14,20875
197,17,11648
198,16,31056
199,16,9409
200,11,17419
201,15,10659
202,18,11455
203,18,7544
204,19,12666
205,15,7717
206,16,9491
207,15,11518
208,16,5876
209,15,4998
210,15,17258
211,19,8267
212,12,2496
213,15,6254
214,16,3690
215,14,5498
216,16,8726
217,16,4902
218,12,24526
219,15,4591
220,18,10112
221,18,5382
222,15,11868
223,17,18181
224,16,15686
225,17,10540
226,16,5498
227,14,16447
228,15,5064
229,18,4598
230,15,7657
231,17,12539
232,18,13188
233,17,7167
234,17,6712
235,15,11521
236,13,4406
237,15,7845
238,15,9406
239,13,2489
240,15,7725
241,16,23828
242,11,4693
243,10,6957
244,19,3961
245,13,8467
246,13,12202
247,11,16396
248,11,13955
249,12,5018
250,11,10193
251,17,29428
252,12,12566
253,11,9859
254,15,6767
255,11,28018
256,15,24267
257,12,8345
258,13,10031
259,14,5217
260,12,5198
261,19,14045
262,13,9451
263,13,5064
264,14,8574
265,12,6502
266,14,6063
267,14,21296
268,14,7223
269,11,20742
270,13,13507
271,15,5986
272,13,3865
273,16,4576
274,11,1593
275,16,7666
276,13,4096
277,12,4880
278,13,9786
279,13,8884
280,13,5095
281,15,3659
282,11,8135
283,13,10735
284,13,11169
285,12,6993
286,13,7895
287,12,8691
288,13,4009
289,14,19096
290,11,8621
291,13,12407
292,16,5824
293,17,10240
294,17,9771
