Date_Before,Header_count,Word_count
001,17,24043
002,24,16529
003,17,32147
004,23,27348
005,29,24351
006,25,17139
007,21,24401
008,21,31761
009,22,30485
010,19,32911
011,21,36204
012,18,34839
013,90,194575
014,44,67770
015,18,17546
016,17,18483
017,15,14075
018,21,18064
019,19,24433
020,19,28429
021,19,24110
022,17,15432
023,21,29049
024,21,30961
025,21,38377
026,27,45260
027,23,30832
028,21,29542
029,22,27864
030,21,33940
031,21,26883
032,22,30046
033,22,30414
034,19,24077
035,22,25583
036,22,32669
037,25,40836
038,20,21204
039,24,37035
040,23,156965
041,24,36176
042,24,44719
043,21,43144
044,26,38815
045,26,31108
046,26,40159
047,22,35725
048,29,43278
049,23,46780
050,25,46781
051,21,35846
052,31,35621
053,25,30346
054,27,50520
055,26,46827
056,25,23158
057,22,28393
058,25,25975
059,24,40385
060,24,27134
061,25,30279
062,24,32522
063,27,30687
064,23,35747
065,23,31937
066,25,29068
067,28,40163
068,27,51117
069,23,25364
070,28,26205
071,25,78297
072,22,23866
073,21,12693
074,21,15335
075,23,22054
076,22,35635
077,21,36772
078,21,37958
079,21,45227
080,23,25434
081,22,30626
082,19,41535
083,21,29968
084,23,26920
085,20,22248
086,20,28587
087,19,30105
088,20,23263
089,18,12912
090,23,32228
091,21,23111
092,20,28034
093,20,38096
094,19,50162
095,20,27087
096,20,33109
097,22,56350
098,21,27354
099,21,22742
100,18,25560
101,21,35025
102,20,19006
103,22,32477
104,21,25556
105,20,23870
106,21,21942
107,22,21608
108,21,21756
109,17,17635
110,18,20378
111,19,16901
112,17,30875
113,18,31913
114,18,26859
115,19,24442
116,17,27270
117,19,38084
118,28,38065
119,20,20611
120,17,21035
121,19,19472
122,20,15635
123,18,21824
124,16,16322
125,17,16723
126,17,13420
127,16,10757
128,17,13998
129,16,14258
130,16,17506
131,15,13734
132,15,14262
133,17,17182
134,14,16283
135,16,18686
136,16,24297
137,15,11514
138,17,11435
139,16,14164
140,15,18164
141,16,20638
142,16,12978
143,15,16867
144,15,19821
145,15,17301
146,16,16887
147,16,18608
148,16,13401
149,17,14924
150,16,14751
151,17,17343
152,17,32648
153,19,18715
154,16,13324
155,17,12969
156,18,13324
157,17,15726
158,19,15282
159,19,14383
160,22,14154
161,21,16807
162,18,12659
163,21,21062
164,15,9213
165,16,42829
166,17,23937
167,17,21874
168,18,10783
169,17,16420
170,17,13198
171,16,11827
172,16,12580
173,15,18384
174,17,32475
175,17,12810
